CHEQUEESPECIAL;USO_CREDITO;HISTORICO_CREDITO;PROPOSITO;BALANCO_ATUAL;BALANCO_MEDIO_CREDITO;EMPREGADO;LOCAL;ESTADOCIVIL;OUTRASFUNCOES;RESIDENCIADESDE;TIPOSBENS;IDADE;OUTROSPLANOSPGTO;RESIDENCIA;CREDITOSEXISTENTES;EMPREGO;DEPENDENTES;TRABAESTRANGEIRO;CLASSE
sem cheque;12;crítica / outros de crédito existente;educação;701;<100;1<=X<4;4;masculino solteiro;nenhum;2;carro;32;nenhum;própria;2;especializado;1;sim;bom
<0;15;atrasos anteriores;mobilia/equipamento;3643;<100;>=7;1;fem div/cas;nenhum;4;seguro de vida;27;nenhum;própria;2;não especializado;1;sim;bom
0<=X<200;30;crítica / outros de crédito existente;carro novo;4249;<100;desempregado;4;masculino casado/viuvo;nenhum;2;carro;28;nenhum;própria;2;alta qualificação/autonomo/Gerente;1;sim;ruim
<0;24;existente e pago;Computador/TV;1938;<100;<1;4;masculino div/sep;nenhum;3;seguro de vida;32;nenhum;própria;1;especializado;1;sim;ruim
<0;24;existente e pago;carro usado;2910;<100;4<=X<7;2;masculino solteiro;nenhum;1;nenhuma conhecida;34;nenhum;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;18;existente e pago;mobilia/equipamento;2659;>=1000;1<=X<4;4;masculino solteiro;nenhum;2;carro;28;nenhum;própria;1;especializado;1;sim;bom
sem cheque;18;crítica / outros de crédito existente;carro novo;1028;<100;1<=X<4;4;fem div/cas;nenhum;3;bens imóveis;36;nenhum;própria;2;especializado;1;sim;bom
<0;8;crítica / outros de crédito existente;carro novo;3398;<100;4<=X<7;1;masculino solteiro;nenhum;4;bens imóveis;39;nenhum;própria;2;não especializado;1;não;bom
sem cheque;12;crítica / outros de crédito existente;mobilia/equipamento;5801;nenhuma economia conhecida;>=7;2;masculino solteiro;nenhum;4;seguro de vida;49;nenhum;alugada;1;especializado;1;sim;bom
sem cheque;24;existente e pago;carro novo;1525;>=1000;4<=X<7;4;fem div/cas;nenhum;3;carro;34;nenhum;própria;1;especializado;2;sim;bom
>=200;36;existente e pago;Computador/TV;4473;<100;>=7;4;masculino solteiro;nenhum;2;carro;31;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;6;existente e pago;Computador/TV;1068;<100;>=7;4;masculino solteiro;nenhum;4;carro;28;nenhum;própria;1;especializado;2;sim;bom
<0;24;crítica / outros de crédito existente;carro usado;6615;<100;desempregado;2;masculino solteiro;nenhum;4;nenhuma conhecida;75;nenhum;gratuitamente;2;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;18;crítica / outros de crédito existente;educação;1864;100<=X<500;1<=X<4;4;fem div/cas;nenhum;2;bens imóveis;30;nenhum;própria;2;especializado;1;sim;ruim
0<=X<200;60;existente e pago;carro novo;7408;100<=X<500;<1;4;fem div/cas;nenhum;2;seguro de vida;24;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;48;crítica / outros de crédito existente;carro usado;11590;100<=X<500;1<=X<4;2;fem div/cas;nenhum;4;carro;24;banco;alugada;2;não especializado;1;sim;ruim
<0;24;sem créditos/todos pagos;mobilia/equipamento;4110;<100;>=7;3;masculino solteiro;nenhum;4;nenhuma conhecida;23;banco;alugada;2;especializado;2;sim;ruim
<0;6;crítica / outros de crédito existente;mobilia/equipamento;3384;<100;1<=X<4;1;masculino div/sep;nenhum;4;bens imóveis;44;nenhum;alugada;1;alta qualificação/autonomo/Gerente;1;sim;ruim
0<=X<200;13;existente e pago;Computador/TV;2101;<100;<1;2;fem div/cas;fiador;4;seguro de vida;23;nenhum;própria;1;não especializado;1;sim;bom
<0;15;existente e pago;Eletrodomésticos;1275;nenhuma economia conhecida;1<=X<4;4;fem div/cas;nenhum;2;carro;24;nenhum;alugada;1;especializado;1;sim;ruim
<0;24;existente e pago;mobilia/equipamento;4169;<100;1<=X<4;4;masculino solteiro;nenhum;4;seguro de vida;28;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;10;existente e pago;mobilia/equipamento;1521;<100;1<=X<4;4;masculino div/sep;nenhum;2;carro;31;nenhum;própria;1;não especializado;1;sim;bom
0<=X<200;24;crítica / outros de crédito existente;educação;5743;<100;<1;2;fem div/cas;nenhum;4;nenhuma conhecida;24;nenhum;gratuitamente;2;especializado;1;sim;bom
<0;21;existente e pago;mobilia/equipamento;3599;<100;4<=X<7;1;fem div/cas;nenhum;4;carro;26;nenhum;alugada;1;não especializado;1;sim;bom
0<=X<200;18;existente e pago;Computador/TV;3213;500<=X<1000;<1;1;masculino casado/viuvo;nenhum;3;bens imóveis;25;nenhum;alugada;1;especializado;1;sim;bom
0<=X<200;18;existente e pago;negócios;4439;<100;>=7;1;masculino solteiro;co requerente;1;bens imóveis;33;banco;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
>=200;10;existente e pago;carro novo;3949;<100;<1;1;masculino solteiro;fiador;1;seguro de vida;37;nenhum;própria;1;não especializado;2;sim;bom
sem cheque;15;crítica / outros de crédito existente;Computador/TV;1459;<100;1<=X<4;4;fem div/cas;nenhum;2;carro;43;nenhum;própria;1;não especializado;1;sim;bom
0<=X<200;13;crítica / outros de crédito existente;Computador/TV;882;<100;<1;4;masculino solteiro;fiador;4;bens imóveis;23;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;24;existente e pago;Computador/TV;3758;500<=X<1000;desempregado;1;fem div/cas;nenhum;4;nenhuma conhecida;23;nenhum;alugada;1;unemp/unespecializado non res;1;sim;bom
sem cheque;6;atrasos anteriores;negócios;1743;100<=X<500;1<=X<4;1;masculino solteiro;nenhum;2;bens imóveis;34;nenhum;própria;2;não especializado;1;sim;bom
0<=X<200;9;crítica / outros de crédito existente;educação;1136;>=1000;>=7;4;masculino solteiro;nenhum;3;nenhuma conhecida;32;nenhum;gratuitamente;2;especializado;2;sim;ruim
sem cheque;9;existente e pago;Eletrodomésticos;1236;<100;<1;1;fem div/cas;nenhum;4;bens imóveis;23;nenhum;alugada;1;especializado;1;sim;bom
0<=X<200;9;existente e pago;mobilia/equipamento;959;<100;1<=X<4;1;fem div/cas;nenhum;2;carro;29;nenhum;própria;1;especializado;1;não;ruim
sem cheque;18;crítica / outros de crédito existente;carro usado;3229;nenhuma economia conhecida;desempregado;2;masculino solteiro;nenhum;4;nenhuma conhecida;38;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;12;sem créditos/todos pagos;Computador/TV;6199;<100;1<=X<4;4;masculino solteiro;nenhum;2;seguro de vida;28;nenhum;alugada;2;especializado;1;sim;ruim
sem cheque;10;existente e pago;educação;727;500<=X<1000;>=7;4;masculino solteiro;nenhum;4;nenhuma conhecida;46;nenhum;gratuitamente;1;especializado;1;sim;bom
0<=X<200;24;existente e pago;carro novo;1246;<100;<1;4;masculino solteiro;nenhum;2;bens imóveis;23;stores;própria;1;não especializado;1;sim;ruim
sem cheque;12;crítica / outros de crédito existente;Computador/TV;2331;nenhuma economia conhecida;>=7;1;masculino solteiro;co requerente;4;bens imóveis;49;nenhum;própria;1;especializado;1;sim;bom
sem cheque;36;atrasos anteriores;Computador/TV;4463;<100;1<=X<4;4;masculino solteiro;nenhum;2;carro;26;nenhum;própria;2;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;12;existente e pago;Computador/TV;776;<100;1<=X<4;4;masculino casado/viuvo;nenhum;2;bens imóveis;28;nenhum;própria;1;especializado;1;sim;bom
<0;30;existente e pago;mobilia/equipamento;2406;<100;4<=X<7;4;fem div/cas;nenhum;4;bens imóveis;23;nenhum;alugada;1;especializado;1;sim;ruim
0<=X<200;18;existente e pago;educação;1239;nenhuma economia conhecida;1<=X<4;4;masculino solteiro;nenhum;4;nenhuma conhecida;61;nenhum;gratuitamente;1;especializado;1;sim;bom
>=200;12;existente e pago;Computador/TV;3399;nenhuma economia conhecida;>=7;2;masculino solteiro;nenhum;3;carro;37;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
>=200;12;atrasos anteriores;carro novo;2247;<100;1<=X<4;2;fem div/cas;nenhum;2;carro;36;stores;própria;2;especializado;1;sim;bom
sem cheque;6;existente e pago;mobilia/equipamento;1766;<100;1<=X<4;1;masculino casado/viuvo;nenhum;2;seguro de vida;21;nenhum;alugada;1;especializado;1;sim;bom
<0;18;existente e pago;mobilia/equipamento;2473;<100;desempregado;4;masculino solteiro;nenhum;1;carro;25;nenhum;própria;1;unemp/unespecializado non res;1;sim;ruim
sem cheque;12;existente e pago;negócios;1542;<100;4<=X<7;2;masculino solteiro;nenhum;4;carro;36;nenhum;própria;1;especializado;1;sim;bom
sem cheque;18;crítica / outros de crédito existente;carro usado;3850;<100;4<=X<7;3;masculino solteiro;nenhum;1;carro;27;nenhum;própria;2;especializado;1;sim;bom
<0;18;existente e pago;mobilia/equipamento;3650;<100;<1;1;fem div/cas;nenhum;4;carro;22;nenhum;alugada;1;especializado;1;sim;bom
<0;36;existente e pago;mobilia/equipamento;3446;<100;>=7;4;masculino solteiro;nenhum;2;carro;42;nenhum;própria;1;especializado;2;sim;ruim
0<=X<200;18;existente e pago;mobilia/equipamento;3001;<100;4<=X<7;2;fem div/cas;nenhum;4;bens imóveis;40;nenhum;alugada;1;especializado;1;sim;bom
sem cheque;36;existente e pago;carro novo;3079;nenhuma economia conhecida;1<=X<4;4;masculino solteiro;nenhum;4;bens imóveis;36;nenhum;própria;1;especializado;1;sim;bom
sem cheque;18;crítica / outros de crédito existente;Computador/TV;6070;<100;>=7;3;masculino solteiro;nenhum;4;carro;33;nenhum;própria;2;especializado;1;sim;bom
sem cheque;10;crítica / outros de crédito existente;mobilia/equipamento;2146;<100;<1;1;fem div/cas;nenhum;3;bens imóveis;23;nenhum;alugada;2;especializado;1;sim;bom
sem cheque;60;crítica / outros de crédito existente;carro novo;13756;nenhuma economia conhecida;>=7;2;masculino solteiro;nenhum;4;nenhuma conhecida;63;banco;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;60;todos pagos;outros;14782;100<=X<500;>=7;3;fem div/cas;nenhum;4;nenhuma conhecida;60;banco;gratuitamente;2;alta qualificação/autonomo/Gerente;1;sim;ruim
<0;48;todos pagos;negócios;7685;<100;4<=X<7;2;fem div/cas;fiador;4;carro;37;nenhum;alugada;1;especializado;1;sim;ruim
sem cheque;18;atrasos anteriores;Computador/TV;2320;<100;desempregado;2;masculino casado/viuvo;nenhum;3;bens imóveis;34;nenhum;própria;2;especializado;1;sim;bom
sem cheque;7;atrasos anteriores;Computador/TV;846;nenhuma economia conhecida;>=7;3;masculino solteiro;nenhum;4;nenhuma conhecida;36;nenhum;gratuitamente;1;especializado;1;sim;bom
0<=X<200;36;existente e pago;carro novo;14318;<100;>=7;4;masculino solteiro;nenhum;2;nenhuma conhecida;57;nenhum;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;6;crítica / outros de crédito existente;carro novo;362;100<=X<500;1<=X<4;4;fem div/cas;nenhum;4;carro;52;nenhum;própria;2;não especializado;1;sim;bom
<0;20;existente e pago;mobilia/equipamento;2212;nenhuma economia conhecida;4<=X<7;4;masculino solteiro;nenhum;4;carro;39;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;18;existente e pago;carro usado;12976;<100;desempregado;3;fem div/cas;nenhum;4;nenhuma conhecida;38;nenhum;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;22;existente e pago;carro novo;1283;nenhuma economia conhecida;4<=X<7;4;fem div/cas;nenhum;4;seguro de vida;25;nenhum;alugada;1;especializado;1;sim;bom
>=200;12;existente e pago;carro novo;1330;<100;<1;4;masculino solteiro;nenhum;1;bens imóveis;26;nenhum;própria;1;especializado;1;sim;bom
sem cheque;30;atrasos anteriores;negócios;4272;100<=X<500;1<=X<4;2;masculino solteiro;nenhum;2;seguro de vida;26;nenhum;própria;2;não especializado;1;sim;bom
sem cheque;18;crítica / outros de crédito existente;Computador/TV;2238;<100;1<=X<4;2;fem div/cas;nenhum;1;carro;25;nenhum;própria;2;especializado;1;sim;bom
sem cheque;18;existente e pago;Computador/TV;1126;nenhuma economia conhecida;<1;4;fem div/cas;nenhum;2;bens imóveis;21;nenhum;alugada;1;especializado;1;sim;bom
0<=X<200;18;crítica / outros de crédito existente;mobilia/equipamento;7374;<100;desempregado;4;masculino solteiro;nenhum;4;seguro de vida;40;stores;própria;2;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;15;crítica / outros de crédito existente;negócios;2326;500<=X<1000;1<=X<4;2;masculino solteiro;nenhum;4;carro;27;banco;própria;1;especializado;1;sim;bom
sem cheque;9;existente e pago;negócios;1449;<100;4<=X<7;3;fem div/cas;nenhum;2;carro;27;nenhum;própria;2;especializado;1;sim;bom
sem cheque;18;existente e pago;carro novo;1820;<100;1<=X<4;2;masculino casado/viuvo;nenhum;2;seguro de vida;30;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;12;existente e pago;mobilia/equipamento;983;>=1000;<1;1;fem div/cas;nenhum;4;bens imóveis;19;nenhum;alugada;1;não especializado;1;sim;bom
<0;36;existente e pago;carro novo;3249;<100;4<=X<7;2;masculino solteiro;nenhum;4;nenhuma conhecida;39;banco;gratuitamente;1;alta qualificação/autonomo/Gerente;2;sim;bom
<0;6;crítica / outros de crédito existente;Computador/TV;1957;<100;4<=X<7;1;fem div/cas;nenhum;4;carro;31;nenhum;própria;1;especializado;1;sim;bom
sem cheque;9;crítica / outros de crédito existente;mobilia/equipamento;2406;<100;desempregado;2;masculino solteiro;nenhum;3;carro;31;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;39;atrasos anteriores;educação;11760;100<=X<500;4<=X<7;2;masculino solteiro;nenhum;3;nenhuma conhecida;32;nenhum;alugada;1;especializado;1;sim;bom
<0;12;existente e pago;mobilia/equipamento;2578;<100;desempregado;3;fem div/cas;nenhum;4;nenhuma conhecida;55;nenhum;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;36;crítica / outros de crédito existente;mobilia/equipamento;2348;<100;1<=X<4;3;masculino casado/viuvo;nenhum;2;seguro de vida;46;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;12;existente e pago;carro novo;1223;<100;>=7;1;masculino div/sep;nenhum;1;bens imóveis;46;nenhum;alugada;2;especializado;1;sim;ruim
sem cheque;24;crítica / outros de crédito existente;Computador/TV;1516;>=1000;1<=X<4;4;fem div/cas;nenhum;1;bens imóveis;43;nenhum;própria;2;não especializado;1;sim;bom
sem cheque;18;existente e pago;Computador/TV;1473;<100;<1;3;masculino casado/viuvo;nenhum;4;bens imóveis;39;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;18;crítica / outros de crédito existente;negócios;1887;nenhuma economia conhecida;1<=X<4;4;masculino casado/viuvo;nenhum;4;bens imóveis;28;banco;própria;2;especializado;1;sim;bom
sem cheque;24;atrasos anteriores;negócios;8648;<100;<1;2;masculino solteiro;nenhum;2;carro;27;banco;própria;2;especializado;1;sim;ruim
sem cheque;14;atrasos anteriores;carro novo;802;<100;1<=X<4;4;masculino solteiro;nenhum;2;carro;27;nenhum;própria;2;não especializado;1;sim;bom
0<=X<200;18;atrasos anteriores;carro novo;2899;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;4;carro;43;nenhum;própria;1;especializado;2;sim;bom
0<=X<200;24;existente e pago;Computador/TV;2039;<100;<1;1;masculino casado/viuvo;nenhum;1;seguro de vida;22;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;24;crítica / outros de crédito existente;carro usado;2197;nenhuma economia conhecida;4<=X<7;4;masculino solteiro;nenhum;4;carro;43;nenhum;própria;2;especializado;2;sim;bom
<0;15;existente e pago;Computador/TV;1053;<100;<1;4;masculino casado/viuvo;nenhum;2;bens imóveis;27;nenhum;própria;1;especializado;1;não;bom
sem cheque;24;existente e pago;Computador/TV;3235;500<=X<1000;>=7;3;masculino div/sep;nenhum;2;carro;26;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
>=200;12;crítica / outros de crédito existente;carro novo;939;500<=X<1000;4<=X<7;4;masculino casado/viuvo;nenhum;2;bens imóveis;28;nenhum;própria;3;especializado;1;sim;ruim
0<=X<200;24;existente e pago;Computador/TV;1967;<100;>=7;4;fem div/cas;nenhum;4;carro;20;nenhum;própria;1;especializado;1;sim;bom
sem cheque;33;crítica / outros de crédito existente;carro usado;7253;<100;4<=X<7;3;masculino solteiro;nenhum;2;carro;35;nenhum;própria;2;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;12;crítica / outros de crédito existente;negócios;2292;<100;desempregado;4;masculino solteiro;nenhum;2;carro;42;stores;própria;2;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;10;existente e pago;carro novo;1597;500<=X<1000;1<=X<4;3;masculino solteiro;nenhum;2;nenhuma conhecida;40;nenhum;alugada;1;não especializado;2;não;bom
<0;24;existente e pago;carro novo;1381;nenhuma economia conhecida;1<=X<4;4;fem div/cas;nenhum;2;seguro de vida;35;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;36;crítica / outros de crédito existente;carro usado;5842;<100;>=7;2;masculino solteiro;nenhum;2;seguro de vida;35;nenhum;própria;2;especializado;2;sim;bom
<0;12;existente e pago;carro novo;2579;<100;<1;4;masculino solteiro;nenhum;1;bens imóveis;33;nenhum;própria;1;não especializado;2;sim;ruim
<0;18;atrasos anteriores;educação;8471;nenhuma economia conhecida;1<=X<4;1;fem div/cas;nenhum;2;carro;23;nenhum;alugada;2;especializado;1;sim;bom
sem cheque;21;existente e pago;carro novo;2782;500<=X<1000;4<=X<7;1;fem div/cas;nenhum;2;carro;31;banco;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;18;existente e pago;carro novo;1042;nenhuma economia conhecida;1<=X<4;4;fem div/cas;nenhum;2;seguro de vida;33;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;15;existente e pago;carro novo;3186;>=1000;4<=X<7;2;fem div/cas;nenhum;3;carro;20;nenhum;alugada;1;especializado;1;sim;bom
0<=X<200;12;existente e pago;carro usado;2028;nenhuma economia conhecida;1<=X<4;4;masculino solteiro;nenhum;2;carro;30;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;12;crítica / outros de crédito existente;carro novo;958;<100;4<=X<7;2;masculino solteiro;nenhum;3;bens imóveis;47;nenhum;própria;2;não especializado;2;sim;bom
sem cheque;21;atrasos anteriores;mobilia/equipamento;1591;100<=X<500;4<=X<7;4;masculino solteiro;nenhum;3;bens imóveis;34;nenhum;própria;2;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;12;existente e pago;mobilia/equipamento;2762;nenhuma economia conhecida;>=7;1;fem div/cas;nenhum;2;seguro de vida;25;banco;própria;1;especializado;1;sim;ruim
0<=X<200;18;existente e pago;carro usado;2779;<100;1<=X<4;1;masculino casado/viuvo;nenhum;3;carro;21;nenhum;alugada;1;especializado;1;sim;bom
sem cheque;28;crítica / outros de crédito existente;Computador/TV;2743;<100;>=7;4;masculino solteiro;nenhum;2;carro;29;nenhum;própria;2;especializado;1;sim;bom
sem cheque;18;crítica / outros de crédito existente;Computador/TV;1149;>=1000;1<=X<4;4;masculino solteiro;nenhum;3;bens imóveis;46;nenhum;própria;2;especializado;1;sim;bom
sem cheque;9;existente e pago;mobilia/equipamento;1313;<100;>=7;1;masculino solteiro;nenhum;4;carro;20;nenhum;própria;1;especializado;1;sim;bom
<0;18;crítica / outros de crédito existente;obras;1190;<100;desempregado;2;fem div/cas;nenhum;4;nenhuma conhecida;55;nenhum;gratuitamente;3;unemp/unespecializado non res;2;sim;ruim
sem cheque;5;existente e pago;negócios;3448;<100;4<=X<7;1;masculino solteiro;nenhum;4;bens imóveis;74;nenhum;própria;1;não especializado;1;sim;bom
0<=X<200;24;existente e pago;outros;11328;<100;1<=X<4;2;masculino solteiro;co requerente;3;carro;29;banco;própria;2;alta qualificação/autonomo/Gerente;1;sim;ruim
<0;6;crítica / outros de crédito existente;mobilia/equipamento;1872;<100;desempregado;4;masculino solteiro;nenhum;4;nenhuma conhecida;36;nenhum;gratuitamente;3;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;24;crítica / outros de crédito existente;obras;2058;<100;1<=X<4;4;masculino div/sep;nenhum;2;bens imóveis;33;nenhum;própria;2;especializado;1;sim;bom
<0;9;existente e pago;mobilia/equipamento;2136;<100;1<=X<4;3;masculino solteiro;nenhum;2;bens imóveis;25;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;12;existente e pago;Computador/TV;1484;nenhuma economia conhecida;1<=X<4;2;masculino casado/viuvo;nenhum;1;bens imóveis;25;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;6;existente e pago;obras;660;500<=X<1000;4<=X<7;2;masculino casado/viuvo;nenhum;4;bens imóveis;23;nenhum;alugada;1;não especializado;1;sim;bom
sem cheque;24;crítica / outros de crédito existente;carro novo;1287;>=1000;>=7;4;fem div/cas;nenhum;4;bens imóveis;37;nenhum;própria;2;especializado;1;sim;bom
<0;42;crítica / outros de crédito existente;obras;3394;<100;desempregado;4;masculino solteiro;co requerente;4;carro;65;nenhum;própria;2;unemp/unespecializado non res;1;sim;bom
>=200;12;todos pagos;negócios;609;<100;<1;4;fem div/cas;nenhum;1;bens imóveis;26;nenhum;própria;1;unemp/unespecializado non res;1;sim;ruim
sem cheque;12;existente e pago;carro novo;1884;<100;>=7;4;masculino solteiro;nenhum;4;carro;39;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;12;existente e pago;mobilia/equipamento;1620;<100;1<=X<4;2;fem div/cas;co requerente;3;seguro de vida;30;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;20;atrasos anteriores;outros;2629;<100;1<=X<4;2;masculino solteiro;nenhum;3;carro;29;banco;própria;2;especializado;1;sim;bom
sem cheque;12;existente e pago;educação;719;<100;>=7;4;masculino solteiro;nenhum;4;carro;41;banco;própria;1;não especializado;2;sim;ruim
0<=X<200;48;crítica / outros de crédito existente;mobilia/equipamento;5096;<100;1<=X<4;2;fem div/cas;nenhum;3;carro;30;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;9;crítica / outros de crédito existente;educação;1244;nenhuma economia conhecida;>=7;4;fem div/cas;nenhum;4;seguro de vida;41;nenhum;alugada;2;não especializado;1;sim;bom
<0;36;existente e pago;carro novo;1842;<100;<1;4;fem div/cas;nenhum;4;carro;34;nenhum;própria;1;especializado;1;sim;ruim
0<=X<200;7;existente e pago;Computador/TV;2576;<100;1<=X<4;2;masculino solteiro;fiador;2;bens imóveis;35;nenhum;própria;1;especializado;1;sim;bom
>=200;12;existente e pago;mobilia/equipamento;1424;nenhuma economia conhecida;>=7;3;fem div/cas;nenhum;4;bens imóveis;55;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;15;atrasos anteriores;obras;1512;>=1000;1<=X<4;3;masculino casado/viuvo;nenhum;3;seguro de vida;61;stores;própria;2;especializado;1;sim;ruim
sem cheque;36;crítica / outros de crédito existente;carro usado;11054;nenhuma economia conhecida;1<=X<4;4;masculino solteiro;nenhum;2;carro;30;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;6;existente e pago;Computador/TV;518;<100;1<=X<4;3;fem div/cas;nenhum;1;bens imóveis;29;nenhum;própria;1;especializado;1;sim;bom
sem cheque;12;sem créditos/todos pagos;mobilia/equipamento;2759;<100;>=7;2;masculino solteiro;nenhum;4;seguro de vida;34;nenhum;própria;2;especializado;1;sim;bom
sem cheque;24;existente e pago;carro usado;2670;<100;>=7;4;masculino solteiro;nenhum;4;carro;35;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;24;existente e pago;carro novo;4817;<100;4<=X<7;2;masculino solteiro;co requerente;3;seguro de vida;31;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;24;existente e pago;carro usado;2679;<100;<1;4;fem div/cas;nenhum;1;nenhuma conhecida;29;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;11;crítica / outros de crédito existente;carro novo;3905;<100;1<=X<4;2;masculino solteiro;nenhum;2;bens imóveis;36;nenhum;alugada;2;especializado;2;sim;bom
<0;12;existente e pago;carro usado;3386;<100;>=7;3;masculino solteiro;nenhum;4;nenhuma conhecida;35;nenhum;gratuitamente;1;especializado;1;sim;ruim
<0;6;existente e pago;Eletrodomésticos;343;<100;<1;4;fem div/cas;nenhum;1;bens imóveis;27;nenhum;própria;1;especializado;1;sim;bom
sem cheque;18;existente e pago;Computador/TV;4594;<100;<1;3;masculino solteiro;nenhum;2;carro;32;nenhum;própria;1;especializado;1;sim;bom
<0;36;existente e pago;mobilia/equipamento;3620;<100;1<=X<4;1;masculino solteiro;fiador;2;seguro de vida;37;nenhum;própria;1;especializado;2;sim;bom
<0;15;existente e pago;carro novo;1721;<100;<1;2;masculino solteiro;nenhum;3;bens imóveis;36;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;12;existente e pago;mobilia/equipamento;3017;<100;<1;3;fem div/cas;nenhum;1;bens imóveis;34;nenhum;alugada;1;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;12;existente e pago;qualificação;754;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;4;seguro de vida;38;nenhum;própria;2;especializado;1;sim;bom
sem cheque;18;existente e pago;negócios;1950;<100;4<=X<7;4;masculino solteiro;nenhum;1;carro;34;stores;própria;2;especializado;1;sim;bom
<0;24;existente e pago;carro usado;2924;<100;1<=X<4;3;masculino solteiro;fiador;4;nenhuma conhecida;63;banco;própria;1;especializado;2;sim;bom
<0;24;atrasos anteriores;Computador/TV;1659;<100;<1;4;fem div/cas;nenhum;2;carro;29;nenhum;alugada;1;não especializado;1;sim;ruim
sem cheque;48;atrasos anteriores;Computador/TV;7238;nenhuma economia conhecida;>=7;3;masculino solteiro;nenhum;3;carro;32;banco;própria;2;especializado;2;sim;bom
sem cheque;33;atrasos anteriores;negócios;2764;<100;1<=X<4;2;fem div/cas;nenhum;2;carro;26;nenhum;própria;2;especializado;1;sim;bom
sem cheque;24;atrasos anteriores;carro usado;4679;<100;4<=X<7;3;masculino solteiro;nenhum;3;carro;35;nenhum;própria;2;não especializado;1;sim;bom
0<=X<200;24;existente e pago;Computador/TV;3092;100<=X<500;<1;3;masculino casado/viuvo;nenhum;2;carro;22;nenhum;alugada;1;especializado;1;sim;ruim
<0;6;existente e pago;educação;448;<100;<1;4;fem div/cas;nenhum;4;seguro de vida;23;nenhum;própria;1;especializado;1;sim;ruim
<0;9;existente e pago;carro novo;654;<100;1<=X<4;4;masculino solteiro;nenhum;3;carro;28;nenhum;própria;1;não especializado;1;sim;ruim
sem cheque;6;existente e pago;qualificação;1238;nenhuma economia conhecida;desempregado;4;masculino solteiro;nenhum;4;seguro de vida;36;nenhum;própria;1;alta qualificação/autonomo/Gerente;2;sim;bom
0<=X<200;18;crítica / outros de crédito existente;Computador/TV;1245;<100;1<=X<4;4;masculino casado/viuvo;nenhum;2;carro;33;nenhum;própria;1;especializado;1;sim;ruim
<0;18;sem créditos/todos pagos;mobilia/equipamento;3114;<100;<1;1;fem div/cas;nenhum;4;seguro de vida;26;nenhum;alugada;1;especializado;1;sim;ruim
sem cheque;39;existente e pago;carro usado;2569;500<=X<1000;1<=X<4;4;masculino solteiro;nenhum;4;carro;24;nenhum;própria;1;especializado;1;sim;bom
>=200;24;existente e pago;Computador/TV;5152;<100;4<=X<7;4;masculino solteiro;nenhum;2;carro;25;banco;própria;1;especializado;1;sim;bom
